category,model,tuned_for,trial,value,best
CSD,LightGBM,wmape,75,17.821586004134783,17.184613900096217
CSD,LightGBM,wmape,76,17.445619508350735,17.184613900096217
CSD,LightGBM,wmape,77,17.95806437161649,17.184613900096217
CSD,LightGBM,wmape,78,17.654676674179736,17.184613900096217
CSD,LightGBM,wmape,79,18.861348276306877,17.184613900096217
CSD,LightGBM,wmape,80,17.10616051742831,17.10616051742831
CSD,LightGBM,wmape,81,17.076980156718527,17.076980156718527
CSD,LightGBM,wmape,82,17.35944388773771,17.076980156718527
CSD,LightGBM,wmape,83,17.07079762810511,17.07079762810511
CSD,LightGBM,wmape,84,17.55378208373486,17.07079762810511
CSD,LightGBM,wmape,85,17.55724210604334,17.07079762810511
CSD,LightGBM,wmape,86,17.343094675887098,17.07079762810511
CSD,LightGBM,wmape,87,17.355586035292276,17.07079762810511
CSD,LightGBM,wmape,88,17.35021683073898,17.07079762810511
CSD,LightGBM,wmape,89,18.058291232244056,17.07079762810511
CSD,LightGBM,wmape,90,17.454177371650623,17.07079762810511
CSD,LightGBM,wmape,91,17.13678430377878,17.07079762810511
CSD,LightGBM,wmape,92,17.22538794779953,17.07079762810511
CSD,LightGBM,wmape,93,17.09209795785052,17.07079762810511
CSD,LightGBM,wmape,94,17.269122452583254,17.07079762810511
CSD,LightGBM,wmape,95,17.472414369058598,17.07079762810511
CSD,LightGBM,wmape,96,17.45080452096268,17.07079762810511
CSD,LightGBM,wmape,97,17.249763362269974,17.07079762810511
CSD,LightGBM,wmape,98,17.09132204172031,17.07079762810511
CSD,LightGBM,wmape,99,17.02635262586415,17.02635262586415
CSD,LightGBM,medmape,0,38.260533681694554,38.260533681694554
CSD,LightGBM,medmape,1,38.058102482409765,38.058102482409765
CSD,LightGBM,medmape,2,33.40846256515904,33.40846256515904
CSD,LightGBM,medmape,3,32.805470187220656,32.805470187220656
CSD,LightGBM,medmape,4,38.14838400676253,32.805470187220656
CSD,LightGBM,medmape,5,35.66181841725951,32.805470187220656
CSD,LightGBM,medmape,6,32.219021082954924,32.219021082954924
CSD,LightGBM,medmape,7,36.4377133943563,32.219021082954924
CSD,LightGBM,medmape,8,35.194946120900624,32.219021082954924
CSD,LightGBM,medmape,9,36.300937498935134,32.219021082954924
CSD,LightGBM,medmape,10,37.07456812783586,32.219021082954924
CSD,LightGBM,medmape,11,32.999006998257066,32.219021082954924
CSD,LightGBM,medmape,12,33.81847574057714,32.219021082954924
CSD,LightGBM,medmape,13,32.030414278769136,32.030414278769136
CSD,LightGBM,medmape,14,32.28445086828782,32.030414278769136
CSD,LightGBM,medmape,15,32.08808596904016,32.030414278769136
CSD,LightGBM,medmape,16,35.36514543355702,32.030414278769136
CSD,LightGBM,medmape,17,34.44085889925147,32.030414278769136
CSD,LightGBM,medmape,18,31.789278617268298,31.789278617268298
