category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,4840.9,693.6,33739.5,0.738,52.7,Moderate,3311.0,True
CSD,1953.6,279.3,13615.4,0.887,57.2,Moderate,2583.0,True
CSD,2849.4,407.8,19858.8,0.922,58.2,Moderate,1055.0,True
CSD,2168.6,310.1,15114.1,0.879,56.9,Moderate,1951.0,True
CSD,15782.1,2263.3,109997.4,0.339,40.7,Moderate,6543.8,True
CSD,17839.5,2558.5,124337.3,0.778,53.9,Moderate,6592.3,True
CSD,12034.1,1725.6,83874.6,0.495,45.4,Moderate,6436.9,True
CSD,17031.2,2442.6,118703.2,0.0,30.6,Low,13855.1,True
CSD,17969.1,2577.1,125240.3,0.0,30.6,Low,5908.7,True
CSD,6050.8,867.1,42172.1,0.045,31.9,Low,1932.9,True
CSD,5298.5,759.2,36928.6,0.0,30.6,Low,1063.0,True
CSD,3929.9,562.8,27389.5,0.0,30.6,Low,895.0,True
CSD,338.0,47.5,2354.6,0.0,30.6,Low,63.0,True
CSD,156.5,21.4,1089.4,0.0,30.6,Low,111.0,True
CSD,143.6,19.6,1000.0,0.0,30.6,Low,15.0,False
CSD,154.3,21.1,1074.2,0.0,30.6,Low,7.0,False
CSD,218139.3,31296.7,1520390.7,0.694,51.4,Moderate,108533.6,True
CSD,200071.3,28704.4,1394459.9,0.693,51.3,Moderate,275482.8,True
CSD,326205.1,46801.5,2273589.6,0.78,54.0,Moderate,159087.3,True
CSD,225848.9,32402.8,1574125.0,0.508,45.8,Moderate,272889.5,True
CSD,263713.2,37835.4,1838032.6,0.736,52.7,Moderate,107047.7,True
CSD,250391.8,35924.1,1745184.9,0.755,53.2,Moderate,112552.3,True
CSD,136953.4,19648.5,954539.8,0.864,56.5,Moderate,77037.1,True
CSD,150014.5,21522.4,1045572.9,0.063,32.4,Low,216426.4,True
CSD,332912.7,47763.9,2320340.6,0.612,48.9,Moderate,143618.5,True
CSD,158112.0,22684.2,1102011.5,0.863,56.5,Moderate,87901.7,True
